id;nome;destaque;descricao;imagem;;;;;;;;;;;;;;
1;HTML5;false;Linguagem de marcação para estruturação de páginas web.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/html.svg;;;;;;;;./icons/;HTML5;/;HTML5;-;original.svg;./icons/HTML5/HTML5-original.svg
2;CSS;false;Linguagem de estilos para definição do design e layout das páginas web.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/css.svg;;;;;;;;./icons/;CSS;/;CSS;-;original.svg;./icons/CSS/CSS-original.svg
3;JavaScript;false;Linguagem de programação para interatividade em páginas web.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/javascript.svg;;;;;;;;./icons/;JavaScript;/;JavaScript;-;original.svg;./icons/JavaScript/JavaScript-original.svg
4;TypeScript;true;Superset do JavaScript que adiciona tipagem estética.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/typescript.svg;;;;;;;;./icons/;TypeScript;/;TypeScript;-;original.svg;./icons/TypeScript/TypeScript-original.svg
5;Node.js;true;Ambiente de execução JavaScript no lado do servidor.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/node.svg;;;;;;;;./icons/;Node.js;/;Node.js;-;original.svg;./icons/Node.js/Node.js-original.svg
6;Java;true;Linguagem de programação orientada a objetos.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/java.svg;;;;;;;;./icons/;Java;/;Java;-;original.svg;./icons/Java/Java-original.svg
7;Python;true;Linguagem de programação interpretada de alto nível.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/python.svg;;;;;;;;./icons/;Python;/;Python;-;original.svg;./icons/Python/Python-original.svg
8;NestJS;true;Framework para construção de aplicações back-end em Node.js.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/nest.svg;;;;;;;;./icons/;NestJS;/;NestJS;-;original.svg;./icons/NestJS/NestJS-original.svg
9;Express.js;false;Framework web minimalista para Node.js.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/express.svg;;;;;;;;./icons/;Express.js;/;Express.js;-;original.svg;./icons/Express.js/Express.js-original.svg
10;React;true;Biblioteca JavaScript para construção de interfaces de usuário.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg;;;;;;;;./icons/;React;/;React;-;original.svg;./icons/React/React-original.svg
11;Vue.js;false;Framework progressivo para construção de interfaces de usuário.;https://github.com/portfolio-projetos-dev/assets/raw/main/images/vue.svg;;;;;;;;./icons/;Vue.js;/;Vue.js;-;original.svg;./icons/Vue.js/Vue.js-original.svg
